optimizer,best_params,run,score
IGWO,"[5.92334382e-03 8.44469893e-01 1.10109005e-01 3.03595499e+01
 8.51570321e+01 1.06342281e+02 6.44557274e-01 8.14708448e-01
 1.26015741e-02 2.56458797e-02 1.07315320e+02 9.76556142e+00
 2.83671390e+01 1.74381463e-01]",69,2725.499494620352
IGWO,"[3.04592579e-01 5.50847933e-01 1.53842050e-01 7.01932152e+01
 8.73601428e+01 6.25080201e+01 1.55734719e-01 3.35452586e-01
 1.82661592e-01 3.96033678e-03 9.96185642e+01 1.44064569e+02
 1.27286942e+02 5.47274156e-01]",70,2935.2101464748644
IGWO,"[8.61537307e-01 6.64479575e-01 2.07838792e-01 7.23603618e+01
 4.86000485e+01 1.63332341e+02 9.41405189e-01 7.64438175e-01
 3.42376188e-01 1.05672600e-01 1.00485051e+02 1.50045232e+02
 1.47490405e+02 1.04242739e-01]",71,3069.9394785055138
IGWO,"[  1.           0.81430351   0.87375072  72.83410697  56.15602363
  49.74872429   0.43406193   0.82218485   0.17899739   0.31611445
 104.98273059 125.83238821  73.74227291   0.60543268]",72,3112.553940465248
IGWO,"[6.82458208e-01 3.97621495e-01 2.68928832e-01 6.43022813e+01
 5.00366789e+01 8.58574703e+01 4.86082191e-01 6.95848298e-01
 1.58918834e-01 9.91765319e-02 1.10088409e+02 1.41463466e+02
 1.71338142e+02 2.55922086e-01]",73,2763.5981722272595
IGWO,"[0.00000000e+00 3.21023647e-01 1.98950412e-01 7.68659713e+01
 9.37536650e+01 6.14360373e+01 7.49665970e-01 4.19221998e-01
 2.01655868e-02 1.87807509e-01 1.04681449e+02 1.66740263e+02
 4.79888691e+01 9.18440124e-01]",74,2644.6248211593443
IGWO,"[  0.6197738    0.21113362   0.37791136  66.0294668   38.97354027
 143.62677627   0.29027621   0.22716087   0.97786655   0.39664339
 103.73126638 126.3234815  103.3628551    0.37950611]",75,2695.7410671552507
IGWO,"[9.61519156e-01 4.80427977e-01 2.22275266e-01 7.16042163e+01
 4.33113577e+01 7.85811962e+00 4.59293989e-01 9.05784824e-01
 2.39563610e-01 1.04124579e-01 9.96895757e+01 1.61185944e+02
 6.42924930e+01 3.08707791e-01]",76,3210.237361989256
IGWO,"[4.63036407e-02 4.68641839e-01 2.14740587e-01 1.77911686e+02
 7.66732611e+01 7.48513968e+01 1.94530830e-01 9.87827059e-01
 1.62403723e-01 5.23091605e-01 1.15201629e+02 9.33605367e+01
 9.43228374e+01 1.17980426e-01]",77,3054.129430261451
IGWO,"[7.63166454e-01 8.97262629e-01 6.47591362e-01 7.27966542e+01
 6.49146916e+01 1.36149081e+02 7.20512188e-01 5.09547751e-01
 1.06166637e-01 1.43605792e-01 1.03720717e+02 1.50335357e+02
 2.05228048e+01 6.99600183e-01]",78,2798.958747617766
IGWO,"[6.03141910e-01 9.39990989e-01 6.06022678e-01 6.78951916e+01
 1.02819689e+02 1.74814578e+02 1.30785111e-01 9.93152301e-01
 9.19213829e-01 3.11096377e-01 1.00543609e+02 1.28413759e+02
 9.48174463e+01 3.16211329e-01]",79,2902.6857501052787
IGWO,"[1.36098349e-02 9.44818149e-01 5.73043959e-01 3.67651450e+01
 7.92408269e+01 1.65208666e+02 5.66910619e-01 9.32746267e-01
 2.97225893e-01 6.89456419e-01 1.10335413e+02 8.50222735e+01
 4.57194165e+01 3.83519805e-01]",80,2493.3990187705513
IGWO,"[1.77850600e-01 9.52028153e-01 3.75627930e-01 6.72735286e+01
 8.25043971e+01 6.77786926e+00 6.80923420e-01 9.01154024e-02
 8.97483949e-01 2.15579013e-01 5.39441560e+01 1.24074339e+02
 8.56550893e+01 8.88477234e-01]",81,2004.3697235444808
IGWO,"[1.14685742e-01 4.74367513e-01 1.17741021e-01 2.40617661e+01
 1.02399969e+02 2.90505723e+01 8.67975588e-01 9.47098836e-01
 1.00000000e+00 4.26254647e-01 1.02052969e+02 1.41682447e+02
 6.24779413e+01 1.59217674e-01]",82,2740.6948486024316
IGWO,"[1.00000000e+00 3.46719201e-01 3.55897987e-01 7.14398320e+01
 5.66556162e+01 1.67761846e+02 1.26651056e-01 9.32764814e-01
 5.38578457e-01 2.81810720e-02 1.00993088e+02 1.43801221e+02
 5.21839467e+01 5.83790215e-01]",83,3154.439208746573
IGWO,"[8.35551882e-01 7.72939770e-02 5.12355269e-01 7.54289122e+01
 7.15659877e+01 1.92942329e+02 1.14110322e-01 9.57703291e-01
 5.41560228e-01 3.13269899e-01 9.46587457e+01 1.12996778e+02
 1.54356131e+02 1.85037179e-01]",84,2786.299825959242
IGWO,"[9.31413303e-01 6.28254356e-01 9.28927461e-01 7.47001461e+01
 1.92900624e+02 1.36733668e+02 1.29632720e-01 1.22331160e-01
 7.54303229e-02 1.49520842e-01 1.17688097e+02 1.44520707e+02
 9.73055800e+01 1.00000000e-01]",85,1875.0646824414905
IGWO,"[1.41628048e-01 7.98214745e-01 2.33511720e-01 2.41214443e+01
 9.27378800e+01 2.60102512e+01 4.63404104e-01 8.96873282e-01
 1.50179532e-02 1.59452144e-01 1.08342198e+02 5.21411074e+01
 1.98524280e+02 1.56280341e-01]",86,2863.9300757522515
IGWO,"[1.00000000e+00 7.15110935e-01 6.57689107e-01 7.15363441e+01
 1.20896937e+02 7.62224047e+01 1.68981049e-01 3.81027612e-01
 8.54915082e-01 3.27129123e-01 1.06467878e+02 1.12532355e+02
 2.00000000e+02 2.18164387e-01]",87,2546.9404152086004
